Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,3/28/21,US,1147612,661282,476518,153896160,99791266,52429319,1709784,2770708,1044340,null,null,505462,99791266,55907827,1138887
Report,3/28/21,US,null,null,null,null,null,null,null,null,null,3281956,2711611,null,null,null,null
Admin,3/28/21,LTC,1059,286,760,7731325,4830074,2841050,2219,5665,3367,null,null,760,4830074,2842202,3508
Admin,3/29/21,US,2670463,1564481,1089040,156566623,101355747,53518359,1711005,2833180,1104909,null,null,1170928,101355747,57078755,1199354
Report,3/29/21,US,null,null,null,null,null,null,null,null,null,2350144,2757586,null,null,null,null
Admin,3/29/21,LTC,4206,1960,2167,7735531,4832034,2843217,2104,5113,2951,null,null,2284,4832034,2844486,3107
Admin,3/30/21,US,3385067,1978986,1388338,159951690,103334733,54906697,1715257,2899030,1166370,null,null,1509138,103334733,58587893,1263067
Report,3/30/21,US,null,null,null,null,null,null,null,null,null,1789510,2769331,null,null,null,null
Admin,3/30/21,LTC,4199,2059,2113,7739730,4834093,2845330,1989,4691,2644,null,null,2569,4834093,2847055,2854
Admin,3/31/21,US,3965180,2358279,1586019,163916870,105693012,56492716,1743593,2980277,1219161,null,null,1801045,105693012,60388938,1330419
Report,3/31/21,US,null,null,null,null,null,null,null,null,null,2670947,2828491,null,null,null,null
Admin,3/31/21,LTC,4097,2308,1719,7743827,4836401,2847049,1892,4235,2284,null,null,2326,4836401,2849381,2521
Admin,4/1/21,US,4251222,2438347,1786983,168168092,108131359,58279699,1774515,3063963,1271601,null,null,2059168,108131359,62448106,1404137
Report,4/1/21,US,null,null,null,null,null,null,null,null,null,3358112,2903730,null,null,null,null
Admin,4/1/21,LTC,4606,2362,1349,7748433,4838763,2848398,1784,3799,1842,null,null,1862,4838763,2851243,2114
Admin,4/2/21,US,3477803,2009936,1443499,171645895,110141295,59723198,1765360,3038189,1254378,null,null,1687562,110141295,64135668,1404293
Report,4/2/21,US,null,null,null,null,null,null,null,null,null,3975059,2988825,null,null,null,null
Admin,4/2/21,LTC,4970,1343,1358,7753403,4840106,2849756,1530,3533,1522,null,null,1698,4840106,2852941,1814
Admin,4/3/21,US,2195827,1292564,889575,173841722,111433859,60612773,1757696,3013310,1237139,null,null,1076437,111433859,65212105,1401391
Report,4/3/21,US,null,null,null,null,null,null,null,null,null,4081959,3072527,null,null,null,null
Admin,4/3/21,LTC,1283,294,418,7754686,4840400,2850174,1516,3488,1412,null,null,418,4840400,2853359,1702
Admin,4/4/21,US,711749,420411,285283,174553471,111854270,60898056,1723286,2951044,1209820,null,null,338611,111854270,65550716,1377555
Report,4/4/21,US,null,null,null,null,null,null,null,null,null,3365324,3084436,null,null,null,null
Admin,4/4/21,LTC,195,86,93,7754881,4840486,2850267,1487,3365,1317,null,null,94,4840486,2853453,1607
Admin,4/5/21,US,2911406,1676201,1219722,177464877,113530471,62117778,1739246,2985464,1228488,null,null,1471059,113530471,67021775,1420431
Report,4/5/21,US,null,null,null,null,null,null,null,null,null,2134049,3053566,null,null,null,null
Admin,4/5/21,LTC,2715,1801,892,7757596,4842287,2851159,1465,3152,1135,null,null,1132,4842287,2854585,1442
Admin,4/6/21,US,3734829,2205402,1511450,181199706,115735873,63629228,1771591,3035430,1246076,null,null,1919372,115735873,68941147,1479036
Report,4/6/21,US,null,null,null,null,null,null,null,null,null,1404280,2998533,null,null,null,null
Admin,4/6/21,LTC,3637,2270,1358,7761233,4844557,2852517,1495,3071,1027,null,null,2150,4844557,2856735,1382
Admin,4/7/21,US,4025935,2417595,1590936,185225641,118153468,65220164,1780065,3044110,1246778,null,null,2106163,118153468,71047310,1522624
Report,4/7/21,US,null,null,null,null,null,null,null,null,null,2884580,3029052,null,null,null,null
Admin,4/7/21,LTC,3850,2662,1165,7765083,4847219,2853682,1545,3036,948,null,null,1838,4847219,2858573,1313
Admin,4/8/21,US,4033584,2365974,1648419,189259225,120519442,66868583,1769726,3013019,1226983,null,null,2210042,120519442,73257352,1544178
Report,4/8/21,US,null,null,null,null,null,null,null,null,null,3403061,3035473,null,null,null,null
Admin,4/8/21,LTC,3428,2221,1189,7768511,4849440,2854871,1525,2868,925,null,null,2023,4849440,2860596,1336
Admin,4/9/21,US,4076584,2358811,1693927,193335809,122878253,68562510,1819565,3098559,1262759,null,null,2263598,122878253,75520950,1626468
Report,4/9/21,US,null,null,null,null,null,null,null,null,null,3958065,3033045,null,null,null,null
Admin,4/9/21,LTC,3304,2254,1032,7771815,4851694,2855903,1655,2630,878,null,null,1848,4851694,2862444,1357
Admin,4/10/21,US,2735942,1668478,1054762,196071751,124546731,69617272,1873267,3175718,1286357,null,null,1552581,124546731,77073531,1694489
Report,4/10/21,US,null,null,null,null,null,null,null,null,null,4629928,3111327,null,null,null,null
Admin,4/10/21,LTC,298,107,189,7772113,4851801,2856092,1629,2489,845,null,null,190,4851801,2862634,1325
Admin,4/11/21,US,1329842,813059,510906,197401593,125359790,70128178,1929360,3264017,1318589,null,null,749305,125359790,77822836,1753160
Report,4/11/21,US,null,null,null,null,null,null,null,null,null,3579422,3141912,null,null,null,null
Admin,4/11/21,LTC,406,80,324,7772519,4851881,2856416,1628,2519,878,null,null,335,4851881,2862969,1359
Admin,4/12/21,US,2824134,1579117,1232004,200225727,126938907,71360182,1915491,3251550,1320343,null,null,1583501,126938907,79406337,1769223
Report,4/12/21,US,null,null,null,null,null,null,null,null,null,2644914,3214893,null,null,null,null
Admin,4/12/21,LTC,2351,1606,727,7774870,4853487,2857143,1600,2467,855,null,null,1193,4853487,2864162,1368
Admin,4/13/21,US,3295149,1700610,1580214,203520876,128639517,72940396,1843378,3188738,1330167,null,null,1602481,128639517,81008818,1723953
Report,4/13/21,US,null,null,null,null,null,null,null,null,null,2590736,3384387,null,null,null,null
Admin,4/13/21,LTC,2308,1438,853,7777178,4854925,2857996,1481,2277,783,null,null,853,4854925,2865015,1182
Admin,4/14/21,US,3496381,1699368,1782717,207017257,130338885,74723113,1740774,3113088,1357564,null,null,1785588,130338885,82794406,1678156
Report,4/14/21,US,null,null,null,null,null,null,null,null,null,2509055,3330740,null,null,null,null
Admin,4/14/21,LTC,1740,1178,557,7778918,4856103,2858553,1269,1976,696,null,null,557,4856103,2865572,999
Admin,4/15/21,US,3516793,1703967,1799815,210534050,132042852,76522928,1646201,3039260,1379192,null,null,1801936,132042852,84596342,1619855
Report,4/15/21,US,null,null,null,null,null,null,null,null,null,3525204,3348189,null,null,null,null
Admin,4/15/21,LTC,2901,1852,1047,7781819,4857955,2859600,1216,1901,676,null,null,1047,4857955,2866619,860
Admin,4/16/21,US,3383424,1587651,1783034,213917474,133630503,78305962,1536036,2940237,1391922,null,null,1784654,133630503,86380996,1551435
Report,4/16/21,US,null,null,null,null,null,null,null,null,null,3965883,3349306,null,null,null,null
Admin,4/16/21,LTC,2077,1176,883,7783896,4859131,2860483,1062,1725,654,null,null,884,4859131,2867503,722
Admin,4/17/21,US,2207197,1119816,1081567,216124671,134750319,79387529,1457655,2864702,1395751,null,null,1082000,134750319,87462996,1484209
Report,4/17/21,US,null,null,null,null,null,null,null,null,null,3588990,3200601,null,null,null,null
Admin,4/17/21,LTC,134,63,70,7784030,4859194,2860553,1056,1702,637,null,null,70,4859194,2867573,705
Admin,4/18/21,US,1010161,500128,507176,217134832,135250447,79894705,1412951,2819034,1395218,null,null,507376,135250447,87970372,1449648
Report,4/18/21,US,null,null,null,null,null,null,null,null,null,3534901,3194240,null,null,null,null
Admin,4/18/21,LTC,90,38,52,7784120,4859232,2860605,1050,1657,598,null,null,52,4859232,2867625,665
Admin,4/19/21,US,2370431,1034626,1326513,219505263,136285073,81221218,1335167,2754219,1408719,null,null,1327781,136285073,89298153,1413116
Report,4/19/21,US,null,null,null,null,null,null,null,null,null,2174495,3127038,null,null,null,null
Admin,4/19/21,LTC,1540,1071,467,7785660,4860303,2861072,974,1541,561,null,null,467,4860303,2868092,561
Admin,4/20/21,US,2965213,1301632,1652180,222470476,137586705,82873398,1278170,2707085,1419000,null,null,1652687,137586705,90950840,1420288
Report,4/20/21,US,null,null,null,null,null,null,null,null,null,1806929,3015065,null,null,null,null
Admin,4/20/21,LTC,2223,1866,356,7787883,4862169,2861428,1035,1529,490,null,null,356,4862169,2868448,490
Admin,4/21/21,US,3113056,1270621,1832217,225583532,138857326,84705615,1216920,2652325,1426072,null,null,1832937,138857326,92783777,1427053
Report,4/21/21,US,null,null,null,null,null,null,null,null,null,2563671,3022868,null,null,null,null
Admin,4/21/21,LTC,2313,1544,753,7790196,4863713,2862181,1087,1611,518,null,null,753,4863713,2869201,518
Admin,4/22/21,US,3176316,1313124,1853719,228759848,140170450,86559334,1161085,2603685,1433772,null,null,1854252,140170450,94638029,1434526
Report,4/22/21,US,null,null,null,null,null,null,null,null,null,2995734,2947229,null,null,null,null
Admin,4/22/21,LTC,2263,1585,668,7792459,4865298,2862849,1049,1520,464,null,null,668,4865298,2869869,464
Admin,4/23/21,US,2977802,1256866,1711830,231737650,141427316,88271164,1113830,2545739,1423600,null,null,1712326,141427316,96350355,1424194
Report,4/23/21,US,null,null,null,null,null,null,null,null,null,3374587,2862758,null,null,null,null
Admin,4/23/21,LTC,1169,738,428,7793628,4866036,2863277,986,1390,399,null,null,428,4866036,2870297,399
Admin,4/24/21,US,2018170,947115,1066198,233755820,142374431,89337362,1089159,2518735,1421405,null,null,1069490,142374431,97419845,1422407
Report,4/24/21,US,null,null,null,null,null,null,null,null,null,3318230,2824078,null,null,null,null
Admin,4/24/21,LTC,93,37,55,7793721,4866073,2863332,983,1384,397,null,null,55,4866073,2870352,397
Admin,4/25/21,US,916087,469370,444405,234671907,142843801,89781767,1084765,2505296,1412437,null,null,448199,142843801,97868044,1413953
Report,4/25/21,US,null,null,null,null,null,null,null,null,null,3020948,2750656,null,null,null,null
Admin,4/25/21,LTC,71,19,43,7793792,4866092,2863375,980,1381,396,null,null,44,4866092,2870396,395
Admin,4/26/21,US,1992382,803913,1181883,236664289,143647714,90963650,1051806,2451289,1391776,null,null,1196001,143647714,99064045,1395127
Report,4/26/21,US,null,null,null,null,null,null,null,null,null,2107046,2741021,null,null,null,null
Admin,4/26/21,LTC,1348,973,373,7795140,4867065,2863748,966,1354,382,null,null,383,4867065,2870779,383
Admin,4/27/21,US,2423787,956086,1460229,239088076,144603800,92423879,1002442,2373942,1364354,null,null,1501385,144603800,100565430,1373512
Report,4/27/21,US,null,null,null,null,null,null,null,null,null,1639215,2717062,null,null,null,null
Admin,4/27/21,LTC,2243,1540,697,7797383,4868605,2864445,919,1357,431,null,null,761,4868605,2871540,441
Admin,4/28/21,US,2638830,1026246,1605845,241726906,145630046,94029724,967531,2306196,1332016,null,null,1665144,145630046,102230574,1349542
Report,4/28/21,US,null,null,null,null,null,null,null,null,null,2231745,2669644,null,null,null,null
Admin,4/28/21,LTC,1885,1352,530,7799268,4869957,2864975,892,1296,399,null,null,568,4869957,2872108,415
Admin,4/29/21,US,2421495,923086,1491742,244148401,146553132,95521466,911812,2198364,1280305,null,null,1561950,146553132,103792524,1307785
Report,4/29/21,US,null,null,null,null,null,null,null,null,null,2721079,2630407,null,null,null,null
Admin,4/29/21,LTC,1962,1460,432,7801230,4871417,2865407,874,1253,365,null,null,638,4871417,2872746,411
Admin,4/30/21,US,1922601,713624,1204414,246071002,147266756,96725880,834206,2047621,1207817,null,null,1254810,147266756,105047334,1242425
Report,4/30/21,US,null,null,null,null,null,null,null,null,null,2799184,2548207,null,null,null,null
Admin,4/30/21,LTC,1326,922,337,7802556,4872339,2865744,900,1275,352,null,null,420,4872339,2873166,409
Admin,5/1/21,US,1074452,413212,659022,247145454,147679968,97384902,757934,1912804,1149649,null,null,692035,147679968,105739369,1188503
Report,5/1/21,US,null,null,null,null,null,null,null,null,null,3303794,2546144,null,null,null,null
Admin,5/1/21,LTC,104,73,29,7802660,4872412,2865773,906,1277,349,null,null,29,4872412,2873195,406
Admin,5/2/21,US,415248,149201,265210,247560702,147829169,97650112,712195,1841256,1124049,null,null,279002,147829169,106018371,1164332
Report,5/2/21,US,null,null,null,null,null,null,null,null,null,2127998,2418580,null,null,null,null
Admin,5/2/21,LTC,25,13,12,7802685,4872425,2865785,905,1270,344,null,null,12,4872425,2873207,401
Admin,5/3/21,US,208347,65502,142401,247769049,147894671,97792513,606708,1586394,975552,null,null,150220,147894671,106168591,1014935
Report,5/3/21,US,null,null,null,null,null,null,null,null,null,1188734,2287393,null,null,null,null
Admin,5/3/21,LTC,0,0,0,7802685,4872425,2865785,766,1077,291,null,null,0,4872425,2873207,346
Admin,5/4/21,US,0,0,0,247769049,147894671,97792513,470124,1240139,766948,null,null,0,147894671,106168591,800451
Report,5/4/21,US,null,null,null,null,null,null,null,null,null,988846,2194483,null,null,null,null
Admin,5/4/21,LTC,0,0,0,7802685,4872425,2865785,546,757,191,null,null,0,4872425,2873207,238
