filename	
SLURM_ID	73
nsim	50
time in seconds	6
allocation ID	3650	3651	3652	3653	3654	3655	3656	3657	3658	3659	3660	3661	3662	3663	3664	3665	3666	3667	3668	3669	3670	3671	3672	3673	3674	3675	3676	3677	3678	3679	3680	3681	3682	3683	3684	3685	3686	3687	3688	3689	3690	3691	3692	3693	3694	3695	3696	3697	3698	3699
deaths_in_age_group_1	453.245515567808	451.93265874279643	451.8753384033781	451.87740253331555	446.77122327827544	446.7144990376531	446.7169577882212	446.4945541236704	446.4964302064915	446.50110584783425	451.804877412137	451.74771948347114	451.7497907385455	446.6474275031399	446.59086319238935	446.59332644900036	446.37150510780316	446.37338614139145	446.37808468352665	451.73647140538804	451.73892884688746	446.57853773247575	446.58141489460763	446.3601821738883	446.36244184101037	446.3684831603057	451.73561986237206	446.5778995956955	446.3574983601394	446.3641371060941	446.14312654003567	446.0875843001361	446.09005906742976	445.87195182071514	445.87384720197394	445.8786129331596	446.0731524251995	446.076040494441	445.8590917748382	445.86136292842286	445.8674823087293	446.0725105935917	445.85643625314117	445.86309501396033	445.77884725255376	445.7845040810703	445.80299675130806	445.7748246650045	445.7953666557549	445.7450427703707
deaths_in_age_group_2	170120.69703093712	169354.2370248864	169297.3125371866	169298.86102738266	166326.61870464095	166269.7803026116	166271.58127485556	166050.83913234336	166052.28272464505	166056.40174020297	169278.34024252061	169221.52816789201	169223.08129231576	166252.60079240717	166195.8674041589	166197.67161841746	165977.33660863002	165978.78356340635	165982.91755568306	169212.59754498405	169214.38095018867	166186.21969739476	166188.27230779344	165968.41640093294	165970.0912752151	165975.0387190173	169212.45091650833	166186.20719523917	165967.164948592	165972.4584222902	165949.3381048218	165893.30994812347	165895.12320212374	165677.43899388565	165678.8961302933	165683.07578196138	165882.3025481673	165884.3644387152	165667.51155154093	165669.19538248406	165674.1972801968	165882.28750048566	165666.27496456954	165671.5880299146	165609.9254894079	165613.65571901447	165626.18134856335	165607.8744496401	165621.60423878714	165591.49783439934
deaths_in_age_group_3	188989.08219933553	188351.8778362662	188036.89260399793	187804.50710434123	185912.73513170186	185576.3084767447	185323.74485751733	184324.60788666806	184093.86449443857	183244.55563306456	188334.25919980314	188018.22273523198	187785.49861657713	185897.3250908487	185559.84064239284	185306.94195897813	184304.13447937803	184073.06420030823	183222.52832672262	188012.07799729612	187778.7886936062	185555.75290632335	185302.26514102952	184301.3250155237	184069.65534969576	183216.8438668902	187764.10897751708	185286.11005421236	184058.3978302847	183206.5818734803	185882.65433898437	185540.0248848277	185286.19578508602	184264.56077964956	184032.5213589343	183178.44343698816	185544.3500370522	185289.98383697157	184268.5896437492	184036.0020983285	183179.69602281423	185273.95959903303	184024.75430650628	183169.54834035772	184357.51788034837	184118.83852469805	183237.69987722283	184114.64465844614	183232.17725658242	183232.3454080235
deaths_in_age_group_4	379428.7754852306	379841.02503514546	380184.09446208726	380292.6103979038	401072.0873909208	401235.0305959319	401353.6960572687	408068.9395861257	407948.4397807932	410185.5978756147	380244.25368123595	380583.1415146236	380691.8470863765	401449.0794665589	401607.5678426113	401726.4277272485	408447.2722371119	408326.63197082735	410567.17341623845	380773.05127650226	380873.82292062225	401810.7391533637	401921.090169932	408642.11954701145	408513.6493766032	410743.3341358903	380949.92319008114	402002.9267451378	408601.5850653273	410823.0871501833	407501.48090559663	407579.396955664	407698.8824252551	414204.27974528866	414083.2892677927	416333.7382121852	407878.34343976725	407989.2738977717	414477.49189804733	414348.71856443526	416587.5290526249	408070.98173286044	414436.1783412825	416667.9918834556	418483.10145858553	418202.8316256454	419950.8559597628	418394.83721967984	420102.0026699879	422287.6722951361
cases_in_age_group_1	3011594.7173434193	3001491.9616939337	3001048.91883694	3001062.4190089484	2961784.1723393337	2961345.934398877	2961362.307666392	2959647.8135033716	2959659.9411937036	2959687.2403400685	3000509.955897346	3000068.1099433517	3000081.6609827746	2960833.1306731426	2960396.0739217945	2960412.4791539134	2958702.3162965206	2958714.479452593	2958741.941855127	2999984.0934423315	3000000.429466291	2960304.1506995256	2960323.5421701353	2958617.734983339	2958632.6317767184	2958669.774253237	2999976.369340618	2960297.978297775	2958596.7359920577	2958638.220497748	2956960.7230563588	2956531.2289150944	2956547.713324196	2954865.1795010455	2954877.4440452997	2954905.3807591195	2956423.7913805484	2956443.2553466284	2954769.222926881	2954784.199045997	2954821.889889632	2956417.597353395	2954748.431938435	2954790.0401641172	2954175.20961182	2954214.605404163	2954341.530462991	2954144.508332663	2954286.2164231287	2953921.881341219
cases_in_age_group_2	34678276.09938363	34501544.167056076	34482416.90048516	34482718.96713974	33804301.41582455	33785202.50854343	33785556.65057827	33711740.44048264	33712020.43801812	33712789.27129872	34484031.82559667	34464932.724125884	34465235.730713256	33787265.85441221	33768191.65953179	33768546.45720893	33694832.4271598	33695113.10823094	33695884.97273226	34462414.7902178	34462765.01032293	33765526.00624229	33765931.74033447	33692355.606909774	33692683.05490889	33693621.65324542	34462367.004316695	33765505.89221761	33692080.20773624	33693090.13519447	33717501.48796183	33698595.71937047	33698952.30664993	33625891.65631065	33626174.38332365	33626955.41272315	33695652.84570662	33696060.388842754	33623210.64624571	33623539.871290565	33624489.39119095	33695632.264822625	33622938.32733399	33623951.93754958	33608787.4353704	33609536.28647655	33612028.780390844	33608347.513675585	33611086.65523023	33604897.44636637
cases_in_age_group_3	3430095.1029552775	3417423.4267966123	3411029.7586469823	3406299.805210694	3368962.120803253	3362132.3647425626	3356991.552966033	3336726.584764399	3332031.1554146744	3314750.940609186	3417200.6296178163	3410783.089412307	3406046.1750492873	3368782.255138053	3361928.4459945336	3356780.7826408837	3336431.608088881	3331729.535872516	3314424.087622956	3410718.381575805	3405966.6141161425	3361919.514018468	3356756.163608175	3336438.877042407	3331721.482158851	3314357.9737883424	3405670.6301928395	3356430.421284597	3331498.396335609	3314150.968395075	3369177.184291267	3362203.5646549603	3357036.8196790963	3336247.267794918	3331525.495371186	3314146.451699017	3362391.938631043	3357210.2307800166	3336413.7193174246	3331677.443828389	3314240.051549887	3356887.2452665553	3331454.726999486	3314035.4463995933	3338727.249063039	3333841.4141364777	3315802.1179922177	3333767.7983446317	3315692.632341154	3315709.466344292
cases_in_age_group_4	1949134.0797908676	1976055.6773942376	1984506.5383866238	1987165.869641709	2078970.0653129988	2087690.1541032556	2090589.902935086	2120853.941343341	2123545.933524167	2133519.144545766	1982522.04905935	1990932.797249757	1993596.2788969986	2085121.8399147654	2093802.3685189579	2096706.3138698367	2126809.0662481985	2129505.2526000873	2139493.7623068467	1993385.7473946835	1995968.2005142714	2096579.4536705606	2099395.9873316223	2129438.3684589537	2132054.610706768	2141743.6470165923	1996896.6250031264	2100400.195330288	2133312.1769484947	2142883.572694785	2117427.993708953	2125791.8213550635	2128707.8913114443	2157555.5893962565	2160264.5598414354	2170297.355333559	2129477.7586534717	2132304.7913024365	2160946.016193879	2163574.0646605496	2173299.992379329	2133313.9279588517	2164833.2759638103	2174454.1116324477	2183139.256032778	2185027.5195228304	2191922.333511067	2187347.597590925	2193856.8461390883	2205905.622995911
infections_in_age_group_1	5046114.611552626	5029220.652650751	5028185.117131926	5028214.609018259	4962976.572429389	4961952.646728665	4961988.6760169715	4957990.065627217	4958016.650526993	4958075.43863491	5027559.807218023	5026527.056659497	5026556.66462858	4961374.005072698	4960352.826253884	4960388.927719206	4956400.407661118	4956427.073574543	4956486.236724757	5026331.933725484	5026367.927640103	4960139.412946127	4960182.361237757	4956204.019050427	4956236.9650275335	4956318.426618136	5026312.623695128	4960123.613368116	4956154.388693079	4956245.696322471	4954808.215578593	4953804.6210969165	4953840.90093001	4949916.699801818	4949943.597621709	4950003.850962691	4953555.1626650095	4953598.273776948	4949693.848282792	4949726.975931764	4949809.69941242	4953539.304529801	4949644.683476441	4949736.275333792	4948315.420797683	4948404.71683988	4948693.195252314	4948243.32128755	4948565.567011192	4947725.401068762
